Gene name	Synonym	Accession number	Functional category	Description
accA1	<I>bccA</I>, <I>Rv2501c</I>	Rv2501c	1	PROBABLE ACETYL-/PROPIONYL-COENZYME A CARBOXYLASE ALPHA CHAIN (ALPHA SUBUNIT) ACCA1: BIOTIN CARBOXYLASE + BIOTIN CARBOXYL CARRIER PROTEIN (BCCP)
accA2	<I>bccA</I>, <I>Rv0973c</I>	Rv0973c	1	PROBABLE ACETYL-/PROPIONYL-COENZYME A CARBOXYLASE ALPHA CHAIN (ALPHA SUBUNIT) ACCA2: BIOTIN CARBOXYLASE + BIOTIN CARBOXYL CARRIER PROTEIN (BCCP)
accA3	<I>Rv3285</I>	Rv3285	1	PROBABLE BIFUNCTIONAL PROTEIN ACETYL-/PROPIONYL-COENZYME A CARBOXYLASE (ALPHA CHAIN) ACCA3: BIOTIN CARBOXYLASE + BIOTIN CARBOXYL CARRIER PROTEIN (BCCP)
accD1	<I>Rv2502c</I>	Rv2502c	1	PROBABLE ACETYL-/PROPIONYL-CoA CARBOXYLASE (BETA SUBUNIT) ACCD1
accD2	<I>Rv0974c</I>	Rv0974c	1	PROBABLE ACETYL-/PROPIONYL-CoA CARBOXYLASE (BETA SUBUNIT) ACCD2
accD3	<I>Rv0904c</I>	Rv0904c	1	PUTATIVE ACETYL-COENZYME A CARBOXYLASE CARBOXYL TRANSFERASE (SUBUNIT BETA) ACCD3 (ACCASE BETA CHAIN)
accD4	<I>Rv3799c</I>	Rv3799c	1	PROBABLE PROPIONYL-CoA CARBOXYLASE BETA CHAIN 4 ACCD4 (PCCASE) (PROPANOYL-COA:CARBON DIOXIDE LIGASE)
accD5	<I>Rv3280</I>	Rv3280	1	PROBABLE PROPIONYL-CoA CARBOXYLASE BETA CHAIN 5 ACCD5 (PCCASE) (PROPANOYL-COA:CARBON DIOXIDE LIGASE)
accD6	<I>Rv2247</I>	Rv2247	1	ACETYL/PROPIONYL-CoA CARBOXYLASE (BETA SUBUNIT) ACCD6
acpA	<I>acpP</I>, <I>Rv0033</I>	Rv0033	1	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP)
acpM	<I>Rv2244</I>	Rv2244	1	MEROMYCOLATE EXTENSION ACYL CARRIER PROTEIN ACPM
acpS	<I>Rv2523c</I>	Rv2523c	1	HOLO-[ACYL-CARRIER PROTEIN] SYNTHASE ACPS (HOLO-ACP SYNTHASE) (CoA:APO-[ACP]PANTETHEINEPHOSPHOTRANSFERASE) (CoA:APO-[ACYL-CARRIER PROTEIN]PANTETHEINEPHOSPHOTRANSFERASE)
acrA1	<I>Rv3391</I>	Rv3391	1	POSSIBLE MULTI-FUNCTIONAL ENZYME WITH ACYL-CoA-REDUCTASE ACTIVITY ACRA1
acs	<I>Rv3667</I>	Rv3667	1	ACETYL-COENZYME A SYNTHETASE ACS (ACETATE--CoA LIGASE) (ACETYL-CoA SYNTHETASE) (ACETYL-CoA SYNTHASE) (ACYL-ACTIVATING ENZYME) (ACETATE THIOKINASE) (ACETYL-ACTIVATING ENZYME) (ACETATE--COENZYME A LIGASE) (ACETYL-COENZYME A SYNTHASE)
agpS	<I>Rv3107c</I>	Rv3107c	1	POSSIBLE ALKYLDIHYDROXYACETONEPHOSPHATE SYNTHASE AGPS (ALKYL-DHAP SYNTHASE) (ALKYLGLYCERONE-PHOSPHATE SYNTHASE)
alkB	<I>Rv3252c</I>	Rv3252c	1	PROBABLE TRANSMEMBRANE ALKANE 1-MONOOXYGENASE ALKB (ALKANE 1-HYDROXYLASE) (LAURIC ACID OMEGA-HYDROXYLASE) (OMEGA-HYDROXYLASE) (FATTY ACID OMEGA-HYDROXYLASE) (ALKANE HYDROXYLASE-RUBREDOXIN)
