Gene name	Synonym	Accession number	Location (kb)	Functional category	Description
35kd_ag	<I>Rv2744c</I>	Rv2744c	3058.06	10	CONSERVED 35 KDA ALANINE RICH PROTEIN
acg	<I>Rv2032</I>	Rv2032	2279.13	10	Conserved hypothetical protein Acg
cadI	<I>Rv2641</I>	Rv2641	2965.94	10	CADMIUM INDUCIBLE PROTEIN CADI
che1	<I>Rv2393</I>	Rv2393	2687.13	10	Ferrochelatase
cpsA	<I>Rv3484</I>	Rv3484	3903.08	10	POSSIBLE CONSERVED PROTEIN CPSA
garA	<I>cfp17</I>, <I>Rv1827</I>	Rv1827	2072.60	10	CONSERVED HYPOTHETICAL PROTEIN WITH FHA DOMAIN
gcpE	<I>Rv2868c</I>	Rv2868c	3180.53	10	PROBABLE GCPE PROTEIN
lsr2	<I>Rv3597c</I>	Rv3597c	4041.32	10	PROBABLE IRON-REGULATED LSR2 PROTEIN PRECURSOR
pra	<I>Rv1078</I>	Rv1078	1203.31	10	Probable Proline-rich antigen homolog pra
Rv0004		Rv0004	   4.43	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0021c		Rv0021c	  26.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0025		Rv0025	  29.25	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0026		Rv0026	  29.72	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0027		Rv0027	  31.19	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0028		Rv0028	  31.51	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0029		Rv0029	  32.06	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0030		Rv0030	  33.22	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0034		Rv0034	  36.87	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0036c		Rv0036c	  39.83	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0038		Rv0038	  41.30	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0047c		Rv0047c	  51.73	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0049		Rv0049	  52.83	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0052		Rv0052	  57.41	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0057		Rv0057	  59.90	10	HYPOTHETICAL PROTEIN
Rv0059		Rv0059	  63.20	10	HYPOTHETICAL PROTEIN
Rv0060		Rv0060	  63.91	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0061		Rv0061	  64.99	10	HYPOTHETICAL PROTEIN
Rv0074		Rv0074	  82.75	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0078A		Rv0078A	  87.80	10	HYPOTHETICAL PROTEIN
Rv0079		Rv0079	  88.20	10	HYPOTHETICAL PROTEIN
Rv0080		Rv0080	  89.02	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0088		Rv0088	  96.93	10	HYPOTHETICAL PROTEIN
Rv0098		Rv0098	 107.60	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0100		Rv0100	 109.78	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0104		Rv0104	 122.32	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0106		Rv0106	 124.37	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0108c		Rv0108c	 131.10	10	HYPOTHETICAL PROTEIN
Rv0121c		Rv0121c	 148.34	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0122		Rv0122	 148.49	10	HYPOTHETICAL PROTEIN
Rv0123		Rv0123	 148.86	10	HYPOTHETICAL PROTEIN
Rv0127		Rv0127	 154.23	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0138		Rv0138	 165.32	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0140		Rv0140	 166.91	10	CONSERVED HYPOTHETICAL PROTEIN
