Gene name	Synonym	Gene type	Accession number	Functional category	Description
aac	<I>Rv0262c</I>	CDS	Rv0262c	0	AMINOGLYCOSIDE 2'-N-ACETYLTRANSFERASE AAC (AAC(2')-IC)
ahpC	<I>Rv2428</I>	CDS	Rv2428	0	ALKYL HYDROPEROXIDE REDUCTASE C PROTEIN AHPC (ALKYL HYDROPEROXIDASE C)
ahpD	<I>Rv2429</I>	CDS	Rv2429	0	ALKYL HYDROPEROXIDE REDUCTASE D PROTEIN AHPD (ALKYL HYDROPEROXIDASE D)
ahpE	<I>Rv2238c</I>	CDS	Rv2238c	0	Probable peroxiredoxin AhpE
bcp	<I>Rv2521</I>	CDS	Rv2521	0	PROBABLE BACTERIOFERRITIN COMIGRATORY PROTEIN BCP
bcpB	<I>Rv1608c</I>	CDS	Rv1608c	0	Probable peroxidoxin BcpB
bpoA	<I>Rv3473c</I>	CDS	Rv3473c	0	POSSIBLE PEROXIDASE BPOA (NON-HAEM PEROXIDASE)
bpoB	<I>Rv1123c</I>	CDS	Rv1123c	0	POSSIBLE PEROXIDASE BPOB (NON-HAEM PEROXIDASE)
bpoC	<I>Rv0554</I>	CDS	Rv0554	0	POSSIBLE PEROXIDASE BPOC (NON-HAEM PEROXIDASE)
cfp29	<I>Rv0798c</I>	CDS	Rv0798c	0	29 KDa ANTIGEN CFP29
cinA	<I>Rv1901</I>	CDS	Rv1901	0	PROBABLE CINA-LIKE PROTEIN CINA
clpB	<I>htpM</I>, <I>Rv0384c</I>	CDS	Rv0384c	0	PROBABLE ENDOPEPTIDASE ATP BINDING PROTEIN (CHAIN B) CLPB (CLPB PROTEIN) (HEAT SHOCK PROTEIN F84.1)
cspA	<I>Rv3648c</I>	CDS	Rv3648c	0	PROBABLE COLD SHOCK PROTEIN A CSPA
cspB	<I>Rv0871</I>	CDS	Rv0871	0	PROBABLE COLD SHOCK-LIKE PROTEIN B CSPB
cstA	<I>Rv3063</I>	CDS	Rv3063	0	PROBABLE CARBON STARVATION PROTEIN A HOMOLOG CSTA
dnaJ1	<I>dnaJ</I>, <I>Rv0352</I>	CDS	Rv0352	0	PROBABLE CHAPERONE PROTEIN DNAJ1
dnaJ2	<I>Rv2373c</I>	CDS	Rv2373c	0	PROBABLE CHAPERONE PROTEIN DNAJ2
dnaK	<I>hsp70</I>, <I>Rv0350</I>	CDS	Rv0350	0	PROBABLE CHAPERONE PROTEIN DNAK (HEAT SHOCK PROTEIN 70) (HEAT SHOCK 70 KDA PROTEIN) (HSP70)
eis	<I>Rv2416c</I>	CDS	Rv2416c	0	ENHANCED INTRACELLULAR SURVIVAL PROTEIN EIS, GCN5-RELATED N-ACETYLTRANSFERASE
ephA	<I>Rv3617</I>	CDS	Rv3617	0	PROBABLE EPOXIDE HYDROLASE EPHA (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE)
ephB	<I>Rv1938</I>	CDS	Rv1938	0	PROBABLE EPOXIDE HYDROLASE EPHB (EPOXIDE HYDRATASE)
ephC	<I>Rv1124</I>	CDS	Rv1124	0	PROBABLE EPOXIDE HYDROLASE EPHC (EPOXIDE HYDRATASE)
ephD	<I>Rv2214c</I>	CDS	Rv2214c	0	Possible short-chain dehydrogenase EphD
ephE	<I>Rv3670</I>	CDS	Rv3670	0	POSSIBLE EPOXIDE HYDROLASE EPHE (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE)
ephF	<I>Rv0134</I>	CDS	Rv0134	0	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE)
ephG	<I>Rv2740</I>	CDS	Rv2740	0	EPOXIDE HYDROLASE
groEL1	<I>cpn60_1</I>, <I>Rv3417c</I>	CDS	Rv3417c	0	60 KDA CHAPERONIN 1 GROEL1 (PROTEIN CPN60-1) (GROEL PROTEIN 1)
groEL2	<I>groL2</I>, <I>groEL-2</I>, <I>hsp65</I>, <I>hsp60</I>, <I>Rv0440</I>	CDS	Rv0440	0	60 KDA CHAPERONIN 2 GROEL2 (PROTEIN CPN60-2) (GROEL PROTEIN 2) (65 KDA ANTIGEN) (HEAT SHOCK PROTEIN 65) (CELL WALL PROTEIN A) (ANTIGEN A)
